SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;PARAM4_1;PARAM4_2;Profit;Loss deals;Profit deals;Maximum loss in profit deals
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-1000000.0;239.33998747282706;282.0;645.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-1500000.0;254.80294797485757;282.0;650.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-2000000.0;277.2479641701933;282.0;656.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-2500000.0;277.9684053849814;286.0;694.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-3000000.0;292.08549857701206;278.0;730.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-3500000.0;266.42303750311993;289.0;732.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-4000000.0;289.5441116333795;272.0;734.0;-14.607513015236188
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-4500000.0;283.99531833502544;264.0;703.0;-14.607513015236188
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-5000000.0;301.2475795487898;280.0;699.0;-14.607513015236188
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-5500000.0;269.4662451539712;277.0;687.0;-15.953737043098744
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-6000000.0;284.7732602410284;272.0;693.0;-15.953737043098744
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-6500000.0;278.92780639012454;252.0;669.0;-15.953737043098744
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-7000000.0;221.90460144752555;251.0;639.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-7500000.0;231.67464134704235;250.0;640.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-8000000.0;235.98123481366;261.0;641.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-8500000.0;222.95460835867883;267.0;619.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-9000000.0;238.36780840799722;262.0;634.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-9500000.0;238.36780840799722;262.0;634.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-10000000.0;246.93212103954707;244.0;609.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-10500000.0;245.12999235579807;251.0;619.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-11000000.0;238.81251973338087;249.0;569.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-11500000.0;224.40330931597148;250.0;568.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-12000000.0;205.56997156153514;241.0;549.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-12500000.0;198.73509985875236;245.0;553.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-13000000.0;173.93746571035965;255.0;560.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-13500000.0;144.747620172333;255.0;560.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-14000000.0;145.04532668469417;255.0;559.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-14500000.0;27.843345652965585;250.0;573.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-15000000.0;27.843345652965585;250.0;573.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-15500000.0;70.73287007989568;224.0;553.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-16000000.0;79.09887361107603;225.0;564.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-16500000.0;91.19370081387156;222.0;574.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-17000000.0;82.70593437740762;227.0;569.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-17500000.0;69.56599752701435;223.0;571.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-18000000.0;73.21723472847253;212.0;559.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-18500000.0;103.8987781343368;211.0;560.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-19000000.0;103.8987781343368;211.0;560.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;500000.0;-19500000.0;128.0569255789596;193.0;513.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-1000000.0;241.4144182956414;279.0;635.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-1500000.0;246.5853820120379;281.0;641.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-2000000.0;268.9328552384815;281.0;652.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-2500000.0;268.5897215875826;286.0;683.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-3000000.0;282.70681477961267;278.0;719.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-3500000.0;257.0443537057208;289.0;721.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-4000000.0;279.21986988433184;272.0;723.0;-14.607513015236188
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-4500000.0;273.6710765859779;264.0;692.0;-14.607513015236188
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-5000000.0;290.9233377997423;280.0;688.0;-14.607513015236188
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-5500000.0;258.53762738056844;277.0;676.0;-15.953737043098744
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-6000000.0;273.04295597025725;275.0;692.0;-15.953737043098744
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-6500000.0;267.19750211935377;255.0;668.0;-15.953737043098744
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-7000000.0;210.69429717675425;254.0;638.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-7500000.0;220.464337076271;253.0;639.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-8000000.0;224.77093054288864;264.0;640.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-8500000.0;211.74430408790752;270.0;618.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-9000000.0;227.15750413722586;265.0;633.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-9500000.0;227.15750413722586;265.0;633.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-10000000.0;235.72181676877577;247.0;608.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-10500000.0;232.60468808502682;254.0;618.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-11000000.0;226.2872154626095;252.0;568.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-11500000.0;211.87800504520013;253.0;567.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-12000000.0;196.23264682769147;242.0;550.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-12500000.0;189.3977751249087;246.0;554.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-13000000.0;164.60014097651603;256.0;561.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-13500000.0;135.41029543848933;256.0;561.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-14000000.0;135.7080019508505;256.0;560.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-14500000.0;28.00373400930197;250.0;573.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-15000000.0;28.00373400930197;250.0;573.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-15500000.0;70.89325843623207;224.0;553.0;-110.6220653558325
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;15.0;16.0;600000.0;-16000000.0;79.25926196741243;225.0;564.0;-110.6220653558325
