SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;PARAM4_1;PARAM4_2;Profit;Loss deals;Profit deals;Maximum loss in profit deals
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;3.0;4.0;-1000000.0;100000.0;40.49592034811928;484.0;296.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;3.0;6.0;-1000000.0;100000.0;-13.449637210141168;567.0;370.0;-4.937303613221951
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;3.0;8.0;-1000000.0;100000.0;-125.25064155463129;634.0;356.0;-4.937303613221951
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;3.0;10.0;-1000000.0;100000.0;-151.61539530893157;587.0;359.0;-4.937303613221951
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;3.0;12.0;-1000000.0;100000.0;-118.88712287823103;534.0;325.0;-4.80955089490502
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;3.0;14.0;-1000000.0;100000.0;-99.4310327300532;555.0;380.0;-4.80955089490502
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;3.0;16.0;-1000000.0;100000.0;-104.68784111628116;511.0;402.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;3.0;18.0;-1000000.0;100000.0;-77.4751901775754;472.0;405.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;3.0;20.0;-1000000.0;100000.0;-76.84171316447846;441.0;409.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;3.0;22.0;-1000000.0;100000.0;-51.298876399781314;402.0;423.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;3.0;24.0;-1000000.0;100000.0;-38.72981994647769;387.0;407.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;5.0;6.0;-1000000.0;100000.0;1.2442330973195532;449.0;259.0;-4.936502201184519
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;5.0;8.0;-1000000.0;100000.0;-62.720064061919004;528.0;281.0;-7.130872652546467
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;5.0;10.0;-1000000.0;100000.0;-95.72881441088361;529.0;301.0;-4.655882795659158
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;5.0;12.0;-1000000.0;100000.0;-85.44924341633616;502.0;335.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;5.0;14.0;-1000000.0;100000.0;-58.274880410229194;474.0;393.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;5.0;16.0;-1000000.0;100000.0;-77.97873278955838;431.0;391.0;-4.745761492423988
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;5.0;18.0;-1000000.0;100000.0;-111.08898898376445;379.0;373.0;-4.936502201184519
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;5.0;20.0;-1000000.0;100000.0;-80.49765976204495;337.0;364.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;5.0;22.0;-1000000.0;100000.0;-98.38861091999924;315.0;344.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;5.0;24.0;-1000000.0;100000.0;-62.33954788042845;309.0;349.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;7.0;8.0;-1000000.0;100000.0;14.276805087802947;442.0;224.0;-5.152813740836631
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;7.0;10.0;-1000000.0;100000.0;-61.39313289085702;488.0;306.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;7.0;12.0;-1000000.0;100000.0;-32.00329302995125;456.0;305.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;7.0;14.0;-1000000.0;100000.0;-62.41114948600408;445.0;382.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;7.0;16.0;-1000000.0;100000.0;-60.63064463249143;407.0;404.0;-4.936502201184519
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;7.0;18.0;-1000000.0;100000.0;-32.33206467458194;353.0;372.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;15.0;16.0;7.0;20.0;-1000000.0;100000.0;-30.901988505354524;320.0;371.0;-6.86877794832614
